price,bed,bath,acre_lot,zip_code,house_size,year,month
570000.0,5.0,4.0,0.12,8882.0,2448.0,2000,3
1699000.0,6.0,6.0,5.21,7931.0,7842.0,2000,3
269000.0,3.0,1.0,0.16,8876.0,1237.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
1699000.0,6.0,6.0,5.21,7931.0,7842.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
1699000.0,6.0,6.0,5.21,7931.0,7842.0,2000,3
570000.0,5.0,4.0,0.12,8882.0,2448.0,2000,3
1699000.0,6.0,6.0,5.21,7931.0,7842.0,2000,3
269000.0,3.0,1.0,0.16,8876.0,1237.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
239900.0,2.0,2.0,6.44,7865.0,1873.0,2000,3
360000.0,2.0,2.0,0.14,8690.0,1563.0,2000,3
1699000.0,6.0,6.0,5.21,7931.0,7842.0,2000,3
525000.0,4.0,3.0,0.3,8094.0,3126.0,2000,3
269000.0,3.0,1.0,0.16,8876.0,1237.0,2000,3
699000.0,3.0,2.0,18.9,7825.0,1860.0,2000,3
239900.0,2.0,2.0,6.44,7865.0,1873.0,2000,3
360000.0,2.0,2.0,0.14,8690.0,1563.0,2000,3
1699000.0,6.0,6.0,5.21,7931.0,7842.0,2000,3
269000.0,3.0,1.0,0.16,8876.0,1237.0,2000,3
699000.0,3.0,2.0,18.9,7825.0,1860.0,2000,3
1699000.0,6.0,6.0,5.21,7931.0,7842.0,2000,3
780000.0,4.0,3.0,1.05,8527.0,3242.0,2000,3
869900.0,4.0,3.0,2.04,8527.0,2703.0,2000,3
899000.0,4.0,3.0,0.93,8527.0,3427.0,2000,3
163000.0,4.0,2.0,0.07,8104.0,1160.0,2000,3
525000.0,4.0,3.0,0.3,8094.0,3126.0,2000,3
163000.0,4.0,2.0,0.07,8104.0,1160.0,2000,3
163000.0,4.0,2.0,0.07,8104.0,1160.0,2000,3
525000.0,4.0,3.0,0.3,8094.0,3126.0,2000,3
525000.0,4.0,3.0,0.3,8094.0,3126.0,2000,3
350000.0,4.0,3.0,2.5,8094.0,1872.0,2000,3
525000.0,4.0,3.0,0.3,8094.0,3126.0,2000,3
780000.0,4.0,3.0,1.05,8527.0,3242.0,2000,3
599900.0,4.0,2.0,0.18,8260.0,2176.0,2000,3
599900.0,4.0,2.0,0.18,8260.0,2176.0,2000,3
599900.0,4.0,2.0,0.18,8260.0,2176.0,2000,3
525000.0,4.0,3.0,0.3,8094.0,3126.0,2000,3
350000.0,4.0,3.0,2.5,8094.0,1872.0,2000,3
899000.0,4.0,3.0,0.93,8527.0,3427.0,2000,3
869900.0,4.0,3.0,2.04,8527.0,2703.0,2000,3
350000.0,4.0,3.0,2.5,8094.0,1872.0,2000,3
525000.0,4.0,3.0,0.3,8094.0,3126.0,2000,3
899000.0,4.0,3.0,0.93,8527.0,3427.0,2000,3
360000.0,2.0,2.0,0.14,8690.0,1563.0,2000,3
780000.0,4.0,3.0,1.05,8527.0,3242.0,2000,3
869900.0,4.0,3.0,2.04,8527.0,2703.0,2000,3
360000.0,2.0,2.0,0.14,8690.0,1563.0,2000,3
269000.0,3.0,1.0,0.16,8876.0,1237.0,2000,3
700000.0,5.0,3.0,0.4,8520.0,3151.0,2000,3
360000.0,2.0,2.0,0.14,8690.0,1563.0,2000,3
700000.0,5.0,3.0,0.4,8520.0,3151.0,2000,3
360000.0,2.0,2.0,0.14,8690.0,1563.0,2000,3
780000.0,4.0,3.0,1.05,8527.0,3242.0,2000,3
869900.0,4.0,3.0,2.04,8527.0,2703.0,2000,3
360000.0,2.0,2.0,0.14,8690.0,1563.0,2000,3
360000.0,2.0,2.0,0.14,8690.0,1563.0,2000,3
700000.0,5.0,3.0,0.4,8520.0,3151.0,2000,3
869900.0,4.0,3.0,2.04,8527.0,2703.0,2000,3
700000.0,5.0,3.0,0.4,8520.0,3151.0,2000,3
360000.0,2.0,2.0,0.14,8690.0,1563.0,2000,3
700000.0,5.0,3.0,0.4,8520.0,3151.0,2000,3
360000.0,2.0,2.0,0.14,8690.0,1563.0,2000,3
780000.0,4.0,3.0,1.05,8527.0,3242.0,2000,3
780000.0,4.0,3.0,1.05,8527.0,3242.0,2000,3
1190000.0,5.0,3.0,0.89,7751.0,4137.0,2000,3
869900.0,4.0,3.0,2.04,8527.0,2703.0,2000,3
700000.0,5.0,3.0,0.4,8520.0,3151.0,2000,3
570000.0,5.0,4.0,0.12,8882.0,2448.0,2000,3
700000.0,5.0,3.0,0.4,8520.0,3151.0,2000,3
1190000.0,5.0,3.0,0.89,7751.0,4137.0,2000,3
449900.0,4.0,2.0,0.14,7067.0,1310.0,2000,3
269000.0,3.0,1.0,0.16,8876.0,1237.0,2000,3
239900.0,2.0,2.0,6.44,7865.0,1873.0,2000,3
269000.0,3.0,1.0,0.16,8876.0,1237.0,2000,3
1699000.0,6.0,6.0,5.21,7931.0,7842.0,2000,3
269000.0,3.0,1.0,0.16,8876.0,1237.0,2000,3
269000.0,3.0,1.0,0.16,8876.0,1237.0,2000,3
570000.0,5.0,4.0,0.12,8882.0,2448.0,2000,3
269000.0,3.0,1.0,0.16,8876.0,1237.0,2000,3
269000.0,3.0,1.0,0.16,8876.0,1237.0,2000,3
499999.0,5.0,4.0,0.09,7072.0,1930.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
499999.0,5.0,4.0,0.09,7072.0,1930.0,2000,3
499999.0,5.0,4.0,0.09,7072.0,1930.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
399900.0,2.0,2.0,0.03,7052.0,2595.0,2000,3
469900.0,3.0,2.0,0.23,7512.0,2031.0,2000,4
469900.0,3.0,2.0,0.23,7512.0,2031.0,2000,4
469900.0,3.0,2.0,0.23,7512.0,2031.0,2000,4
750000.0,5.0,4.0,0.58,7728.0,3157.0,2000,4
750000.0,5.0,4.0,0.58,7728.0,3157.0,2000,4
750000.0,5.0,4.0,0.58,7728.0,3157.0,2000,4
750000.0,5.0,4.0,0.58,7728.0,3157.0,2000,4
609900.0,4.0,3.0,0.46,8807.0,2184.0,2000,4
469900.0,3.0,2.0,0.23,7512.0,2031.0,2000,4
609900.0,4.0,3.0,0.46,8807.0,2184.0,2000,4
469900.0,3.0,2.0,0.23,7512.0,2031.0,2000,4
609900.0,4.0,3.0,0.46,8807.0,2184.0,2000,4
609900.0,4.0,3.0,0.46,8807.0,2184.0,2000,4
